Timestamp, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
1, -0.43695, 0.34695, 9.79395, 0.18908, -0.63025, -0.11029
2, -0.45105, 0.37995, 9.81795, 0.04727, -0.0709, -0.11029
3, -0.44895, 0.354, 9.81105, -0.09454, 0.0709, -0.03939
4, -0.45405, 0.36795, 9.813, 0.11817, -0.63025, -0.03939
5, -0.447, 0.35595, 9.804, 0.39391, -1.60715, -0.03939
6, -0.44205, 0.366, 9.78, 0.39391, -1.47322, -0.03939
7, -0.408, 0.38295, 9.73695, -0.65389, 2.1665, -0.11029
8, -0.45405, 0.35595, 9.84, -0.02363, 0.27574, -0.03939
9, -0.43005, 0.37305, 9.80595, -0.23635, 0.84296, -0.11029
10, -0.43905, 0.35595, 9.80595, 0.11817, -0.21271, -0.03939
11, -0.42705, 0.37305, 9.80595, -0.09454, 0.0709, -0.03939
12, -0.43005, 0.36105, 9.804, -0.02363, 0, -0.11029
13, -0.44205, 0.363, 9.80895, -0.02363, -0.14181, -0.11029
14, -0.43005, 0.36105, 9.82095, -0.02363, -0.0709, -0.03939
15, -0.45405, 0.363, 9.80895, -0.02363, -0.0709, -0.11029
16, -0.435, 0.366, 9.81105, -0.02363, 0, -0.03939
17, -0.45105, 0.37305, 9.80595, -0.02363, 0, -0.03939
18, -0.432, 0.37305, 9.81105, -0.02363, 0, -0.03939
19, -0.432, 0.354, 9.80895, 0.04727, 0, -0.03939
20, -0.44895, 0.36105, 9.79905, 0.04727, -0.0709, 0.03151
21, -0.41805, 0.34395, 9.81105, -0.02363, 0, -0.11029
22, -0.432, 0.342, 9.813, -0.02363, 0, -0.03939
23, -0.43905, 0.36105, 9.79005, 0.04727, 0, -0.03939
24, -0.43695, 0.37095, 9.80895, -0.02363, -0.0709, -0.03939
25, -0.44205, 0.34905, 9.79905, -0.02363, 0.14181, -0.11029
26, -0.44205, 0.363, 9.80895, -0.02363, -0.0709, -0.11029
27, -0.43905, 0.35895, 9.80595, -0.02363, 0, -0.03939
28, -0.41505, 0.34695, 9.813, -0.02363, 0, -0.03939
29, -0.43005, 0.354, 9.816, -0.02363, 0.0709, -0.03939
30, -0.44205, 0.363, 9.82305, 0.11817, -0.77206, -0.03939
31, -0.43005, 0.36795, 9.79695, -0.02363, -0.14181, -0.03939
32, -0.432, 0.37095, 9.81105, -0.02363, 0, -0.11029
33, -0.44205, 0.34905, 9.79395, -0.09454, 0.27574, -0.03939
34, -0.435, 0.38295, 9.804, -0.09454, 0.27574, -0.03939
35, -0.432, 0.375, 9.825, -0.02363, 0.20483, -0.11029
36, -0.46305, 0.34905, 9.813, 0.04727, 0.0709, 0.03151
37, -0.44205, 0.38505, 9.813, -0.09454, 0.0709, -0.03939
38, -0.45405, 0.36105, 9.80895, 0.04727, 0.0709, -0.03939
39, -0.435, 0.351, 9.80595, -0.02363, 0, -0.03939
40, -0.435, 0.351, 9.79905, -0.02363, 0, -0.03939
41, -0.44205, 0.35595, 9.79695, -0.02363, 0.0709, -0.11029
42, -0.447, 0.34395, 9.813, -0.02363, 0.0709, -0.03939
43, -0.43905, 0.351, 9.813, -0.02363, 0, -0.11029
44, -0.43695, 0.366, 9.83295, 0.04727, 0, -0.03939
45, -0.44895, 0.375, 9.813, -0.02363, 0.0709, -0.03939
46, -0.447, 0.35895, 9.801, -0.02363, 0.0709, -0.03939
47, -0.447, 0.375, 9.80895, 0.04727, 0.0709, -0.03939
48, -0.45405, 0.375, 9.79905, -0.02363, 0, -0.03939
49, -0.45105, 0.36105, 9.804, -0.02363, 0.0709, -0.03939
50, -0.44895, 0.35595, 9.81105, -0.02363, 0.14181, -0.03939
51, -0.44895, 0.33495, 9.82305, -0.02363, 0.21271, -0.11029
52, -0.45105, 0.35595, 9.80595, -0.09454, 0.35452, -0.11029
53, -0.45105, 0.366, 9.825, -0.02363, 0.28361, -0.03939
54, -0.447, 0.366, 9.825, -0.02363, -0.14181, -0.03939
55, -0.43905, 0.35895, 9.79905, 0.04727, -0.14181, -0.11029
