Timestamp, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
86, -0.21195, -0.984, 8.889, 167.97833, 191.21104, -228.92386
87, -0.21195, -0.984, 8.889, 172.73674, 195.89857, -244.11296
88, -2.391, -1.68495, 6.90405, 178.55083, 198.97893, -255.24483
89, -0.432, -2.14995, 4.869, 184.71156, 141.30284, -266.79422
90, -3.01995, -1.93395, 3.68205, 177.00671, 90.13414, -268.19653
91, -6.16605, -2.37705, 4.98405, 172.24831, 71.65195, -267.21964
92, -7.65105, -3.79905, 6.99105, 190.80139, 83.13045, -261.40555
93, -6.492, -5.394, 6.21705, 220.62025, 89.7166, -252.65291
94, -4.452, -6.603, 2.451, 258.69547, 77.53694, -264.4859
95, -4.452, -6.603, 2.451, 261.35828, 71.65195, -282.54269
96, -5.73795, -7.82895, -0.795, 221.66806, 94.40411, -286.466
97, -11.32905, -8.394, -2.82705, 175.61227, 94.54591, -266.72333
98, -14.34105, -7.716, -2.454, 128.84746, 88.73183, -226.47374
99, -15.66, -9.73695, -0.795, 121.99346, 63.18292, -188.04402
100, -16.692, -9.76305, -0.318, 130.5334, 38.05156, -144.22565
101, -13.93395, -8.59305, -1.221, 130.46249, 32.7338, -104.74815
102, -13.93395, -8.59305, -1.221, 112.05121, 59.33049, -106.35529
103, -11.511, -7.90995, -2.40105, 61.37094, 100.07639, -132.81805
104, -12.90405, -7.12305, -1.00995, 38.55576, 121.21352, -137.01714
105, -14.946, -7.85505, 1.254, 36.94073, 123.59272, -117.21142
106, -16.87395, -7.16595, 2.14005, 58.6451, 102.38469, -51.54686
107, -16.99095, -6.768, 1.43295, 58.92083, 83.34315, -21.72799
108, -19.90995, -6.993, 1.66605, 36.23958, 87.05377, 10.61189
109, -24.58305, -7.017, 2.43195, 24.48535, 91.04013, 45.33099
110, -31.43595, -8.80605, 3.40905, 22.03524, 75.14986, 93.56114
111, -39.53805, -10.48695, 4.63695, 35.12088, 41.27373, 189.52513
112, -47.92995, -14.51805, 4.821, 47.85988, -2.33194, 285.98544
113, -50.29305, -18.76605, 6.375, 64.66402, -42.37667, 430.3923
114, -41.82495, -21.81405, 8.03895, 87.20345, -26.97485, 520.96759
115, -41.82495, -21.81405, 8.03895, 104.91358, -4.99476, 581.4483
116, -30.00195, -22.94595, 7.323, 83.91039, -2.61555, 677.625
117, -17.547, -24.297, -1.13505, 43.51901, -278.27271, 755.04376
118, 0.558, -18.108, -3.639, 85.1709, -398.17844, 782.69611
119, 2.94795, -12.12195, -0.88605, 244.49113, -335.38943, 758.40778
120, 2.538, -12.318, -0.67695, 316.45032, -271.48172, 739.78375
121, 2.32995, -12.61695, -0.39195, 388.89798, -146.95149, 716.33832
122, 2.30595, -12.96705, -0.20805, 411.57922, -53.71336, 708.14508
123, 2.799, -13.539, -0.14295, 405.34756, 85.93507, 711.29626
124, 3.21795, -13.599, -0.11895, 373.98459, 173.77666, 722.633
125, 3.61605, -13.46505, -0.11505, 321.9808, 253.92917, 739.36621
126, 3.924, -13.16805, -0.084, 208.36972, 349.68832, 766.59314
127, 4.09005, -12.735, -0.033, 114.08378, 389.86697, 780.4588
128, 3.699, -11.90595, 0.07605, -66.02694, 399.88016, 786.05225
129, 3.288, -11.703, 0.10695, -164.65375, 370.1243, 777.51233
130, 2.36595, -11.96895, 0.13095, -288.75854, 284.72495, 754.41351
131, 2.12595, -12.33495, 0.12105, -349.16837, 207.87338, 737.68817
132, 2.07795, -12.78, 0.078, -400.47888, 75.70921, 720.04895
133, 2.208, -13.185, 0.06405, -407.48254, -16.82777, 716.4801
134, 2.52405, -13.482, 0.066, -392.78192, -107.96244, 720.46649
135, 3.357, -13.51995, 0.045, -330.33954, -232.63446, 737.82996
136, 3.71595, -13.254, 0.03495, -203.01256, -343.02338, 763.30798
137, 3.89295, -12.42105, -0.01395, -85.76176, -386.62906, 775.06219
138, 3.67995, -12.081, -0.05505, 65.78272, -389.15005, 774.08533
139, 3.32805, -11.86995, -0.096, 162.0303, -359.96146, 764.00909
140, 2.57895, -12.01905, -0.25605, 283.05475, -277.85516, 740.48492
141, 2.37105, -12.33, -0.39, 341.92831, -205.54144, 724.31897
142, 2.30595, -12.66105, -0.57195, 393.51459, -86.96711, 707.51477
143, 2.409, -12.96195, -0.756, 402.96838, 10.54099, 704.08777
144, 2.98395, -13.185, -0.77505, 374.68573, 124.78233, 712.97437
145, 3.31905, -13.10295, -0.58605, 332.68723, 198.20688, 725.65033
146, 3.60105, -12.84705, -0.41205, 237.41653, 292.57159, 748.95398
147, 3.80205, -12.52605, -0.057, 164.76404, 326.30591, 640.38489
148, 78.42496, -67.176, 10.644, 223.91335, 157.82338, -542.30957
149, 8.79195, -21.70605, -5.487, 252.88925, 21.46013, -694.42126
150, 11.41395, -15.73695, 4.76595, 252.67654, 114.76917, -735.71863
151, 16.947, -13.41705, 11.13495, 269.6225, 229.78256, -813.13739
152, 16.947, -13.41705, 11.13495, 379.58597, 374.26031, -804.17993
153, 0.321, -15.41595, 25.65195, 475.55783, 1028.25879, -136.67049
154, 6.747, 4.017, 27.12405, 339.19461, 1521.25891, 412.75305
155, 24.64695, 9.33705, 23.46105, 68.72128, 1533.22583, 608.4704
156, 12.30705, 1.06695, 24.01395, 17.41076, 1189.67444, 570.04071
157, -5.41905, -6.78705, 20.016, 42.12457, 765.68719, 612.11011
158, -8.83395, -10.32105, 12.351, 95.67249, 479.32361, 689.10352
159, -5.40705, -13.08405, 5.28105, 145.6516, 219.06827, 793.75708
160, 3.62295, -14.54205, 0.85605, 98.46924, 200.02672, 853.67847
161, 5.514, -9.402, -0.63405, 29.5904, 186.02722, 792.63843
162, 39.504, 76.839, -14.88705, -352.39053, 305.09787, 174.96626
163, 0.04095, 7.27095, 6.63105, -288.19922, 243.42757, 171.25566
164, 3.13695, -1.989, 7.845, -196.43428, 75.43348, 141.29498
165, 6.039, 0.069, 11.82, 81.25544, -228.2227, 30.77213
166, 6.039, 0.069, 11.82, 133.54285, -232.14603, -6.75159
167, 2.75805, 3.852, 3.672, -43.20388, -34.32518, 70.24963
168, 7.16205, 16.61805, 9.057, -84.85577, 65.63303, 93.83688
169, 8.67195, 8.13495, 12.98805, 14.05465, 57.02219, 44.21229
170, 7.12305, 5.37195, 4.75395, 15.03155, 11.52576, 1.85925
171, 0.74505, 7.194, 5.181, -1.55988, 12.22692, -10.46221
172, 0.74505, 7.194, 5.181, -5.12869, 6.41283, -2.97007
173, 1.00305, 6.97905, 6.552, -1.90652, -3.45852, 1.3708
174, 2.56905, 7.19205, 7.242, 2.22164, 1.2999, -0.24422
175, 2.28, 7.25895, 6.066, -1.41807, -0.7957, 1.2999
176, 1.899, 7.20105, 6.35595, 0.54359, 0.74055, -0.59086
177, 1.899, 7.20105, 6.35595, 0.25998, -0.16544, 0.2521
178, 2.14095, 7.161, 6.16695, -0.37027, 0.39391, -0.30725
179, 2.00205, 7.149, 6.39705, -0.01576, 0.04727, 0.11029
180, 2.076, 7.10805, 6.34905, 0.19695, 0.04727, 0.11029
181, 2.11395, 7.20105, 6.30105, 0.05515, 0.1812, -0.37815
182, 1.99905, 7.146, 6.37305, 0.12605, -0.16544, 0.2521
183, 2.14305, 7.21605, 6.31305, 0.40179, 0.39391, 0.1812
184, 2.08305, 7.13205, 6.315, -0.64601, -0.58298, -0.10242
185, 2.08305, 7.13205, 6.315, 0.12605, 0.74055, -0.17332
186, 2.09805, 7.13205, 6.37305, 0.40179, 0.03939, -0.30725
187, 2.00895, 7.15095, 6.234, -0.15756, 0.11029, 0.11029
188, 2.043, 7.15395, 6.399, -0.01576, -0.09454, 0.2521
189, 2.13405, 7.173, 6.36105, 0.12605, -0.30725, 0.2521
190, 2.136, 7.18005, 6.25605, 0.05515, -0.02363, 0.03939
191, 2.06205, 7.18995, 6.39, -0.22847, 0.2521, -0.17332
192, 2.06205, 7.18995, 6.39, -0.01576, -0.02363, -0.10242
193, 2.004, 7.13895, 6.35805, 0.05515, -0.09454, 0.11029
194, 2.06895, 7.17795, 6.291, -0.08666, 0.11029, 0.03939
195, 2.04705, 7.17495, 6.354, 0.19695, 0.11029, 0.2521
196, 2.06595, 7.146, 6.141, -0.29937, 0.66964, 0.52784
197, 2.22495, 7.13205, 6.29895, -0.57511, 2.77312, -0.17332
198, 1.94895, 7.149, 6.12105, -1.90652, 4.66388, -0.24422
199, 1.782, 7.05105, 6.49305, -3.02522, 5.56987, 0.88235
200, 1.782, 7.05105, 6.49305, -1.48897, 3.68698, 2.14286
201, 1.82895, 7.29495, 6.306, -1.97742, -4.43541, 3.19066
202, 2.06595, 7.10595, 6.636, -0.08666, -4.36451, 3.67911
203, 2.62395, 7.16595, 6.375, 0.25998, -1.35505, 1.51261
204, 2.20305, 7.05495, 6.153, -0.71691, -0.65389, -1.07931
205, 1.78905, 7.12995, 6.282, -1.55988, -2.33982, 0.45693
206, 1.01505, 6.85005, 6.924, -3.16702, -39.29631, 4.52207
207, 2.12595, 7.00995, 6.99105, -2.25316, 6.69644, 1.64654
208, 1.97295, 7.16805, 6.48495, -0.5042, -5.06566, 1.64654
209, 1.66695, 6.64395, 6.19305, -10.16284, -6.32617, 1.93015
210, 2.17395, 7.03095, 6.03, -10.37555, -11.01368, 4.656
211, 2.17395, 7.03095, 6.03, -2.95431, -9.61924, 7.03521
212, 2.95695, 7.68495, 5.56395, -5.12869, 14.04678, 5.15232
