SrNo, Timestamp, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro 
63, 1737995752163, 2.46705, 2.39805, 9.46305, 29.16498, -13.6765, -14.96852
64, 1737995752183, 2.08605, 2.42205, 9.35295, 23.07516, -12.77051, -26.51792
65, 1737995752195, 2.08605, 2.42205, 9.35295, 19.36454, -15.00791, -30.0237
66, 1737995752211, 1.79595, 2.406, 9.40395, 14.67703, -17.38712, -28.13294
67, 1737995752230, 1.58595, 2.27205, 9.528, 11.32093, -16.05571, -23.23272
68, 1737995752245, 1.68195, 2.18805, 9.66, 8.5163, -17.87557, -18.82095
69, 1737995752262, 1.77, 2.20905, 9.753, 6.83825, -18.23008, -16.0242
70, 1737995752279, 1.689, 2.19495, 9.648, 7.25579, -17.80466, -16.72535
71, 1737995752294, 1.32495, 2.133, 9.40395, 7.61031, -13.88921, -17.63134
72, 1737995752313, 1.32495, 2.133, 9.40395, 6.13709, -12.90444, -14.62188
73, 1737995752328, 1.11705, 1.84305, 9.19995, 3.41125, -19.90813, -7.41336
74, 1737995752347, 1.107, 1.80495, 9.44205, 2.91492, -26.62821, -3.00158
75, 1737995752363, 1.25505, 2.05605, 9.97095, 7.88605, -35.51479, -1.81198
76, 1737995752379, 1.03695, 2.30295, 10.32795, 15.93754, -43.63718, -3.14339
77, 1737995752396, 0.97995, 2.23305, 10.179, 26.36823, -49.09675, -6.01104
78, 1737995752412, 0.693, 2.082, 9.98295, 31.6151, -47.69444, -7.61819
79, 1737995752427, 0.05595, 1.98405, 9.91395, 35.60933, -41.60461, -3.70274
80, 1737995752446, 0.05595, 1.98405, 9.91395, 38.05944, -41.81733, 4.979
81, 1737995752462, -0.67095, 1.78095, 9.85395, 43.44811, -54.20969, 23.10667
82, 1737995752478, -1.29795, 1.527, 9.86295, 47.08782, -58.8972, 41.51795
83, 1737995752496, -1.48305, 1.37595, 9.93705, 48.06471, -50.01062, 62.16663
84, 1737995752511, -1.68105, 1.074, 10.15995, 45.82731, -19.27788, 92.05641
85, 1737995752528, -2.26605, 0.98595, 9.966, 41.34464, 13.20381, 116.69144
86, 1737995752545, -2.21505, 1.63905, 8.20605, 23.57148, 26.64397, 139.30179
87, 1737995752561, -2.21505, 1.63905, 8.20605, 4.24633, 19.08093, 144.27292
88, 1737995752576, -2.60805, 2.25495, 8.02395, -13.95224, 19.08093, 162.4715
89, 1737995752595, -1.839, 1.28505, 7.90995, -24.38293, 12.9911, 175.70682
90, 1737995752611, -1.58805, 0.14505, 8.95605, -32.22171, 22.01949, 194.0472
91, 1737995752627, -1.662, -0.23895, 9.54, -35.57781, 35.80628, 209.58295
92, 1737995752644, -1.047, 0.291, 9.612, -37.75219, 44.55893, 223.30672
93, 1737995752661, -0.52995, 0.55005, 9.993, -36.76742, 47.29265, 228.20694
94, 1737995752677, 0.37395, 0.57405, 10.14795, -28.72381, 44.62983, 230.79097
95, 1737995752693, 0.37395, 0.57405, 10.14795, -19.41181, 42.95178, 229.60136
96, 1737995752711, 0.88905, 0.94005, 10.17, -14.92913, 59.96075, 226.17438
97, 1737995752725, 1.62195, 1.242, 10.026, -19.27, 80.26279, 218.12288
98, 1737995752743, 2.04795, 1.09605, 10.005, -25.28892, 98.24865, 207.34554
99, 1737995752759, 1.92105, 0.969, 10.07595, -28.92864, 99.29645, 192.43216
100, 1737995752776, 1.88295, 0.9, 10.929, -21.08986, 79.56164, 183.19109
101, 1737995752792, 1.82505, 1.15305, 11.70195, 2.98583, 50.86147, 171.78349
102, 1737995752810, 1.82505, 1.15305, 11.70195, 17.8992, 45.04737, 163.73199
103, 1737995752825, 1.722, 1.07205, 11.463, 22.58671, 58.55844, 154.56181
104, 1737995752844, 2.40495, 0.828, 11.76405, 24.89502, 71.51015, 143.50085
105, 1737995752858, 2.4, 1.00005, 12.31005, 35.88506, 81.09788, 126.14525
106, 1737995752875, 1.75605, 1.33095, 11.66895, 42.81785, 83.8316, 117.88893
107, 1737995752892, 1.272, 1.278, 10.99305, 47.57627, 76.8279, 105.28386
108, 1737995752909, 0.62295, 1.16505, 11.19405, 48.97858, 71.9986, 99.05223
109, 1737995752925, 0.36495, 0.828, 11.57505, 51.91714, 77.38726, 92.68666
110, 1737995752943, 0.36495, 0.828, 11.57505, 52.96494, 86.62836, 89.67721
111, 1737995752960, -0.135, 0.85695, 11.45295, 54.9975, 93.76598, 87.99915
112, 1737995752975, -0.405, 1.134, 11.568, 60.38617, 101.32902, 83.93402
113, 1737995752992, -0.51105, 1.63005, 11.29695, 65.28639, 107.0013, 75.53589
114, 1737995753010, -0.444, 1.95795, 10.94295, 68.09103, 104.19667, 64.1283
115, 1737995753025, -0.76905, 1.99605, 11.39295, 72.92033, 100.84057, 52.64981
116, 1737995753044, -0.70695, 1.695, 11.38395, 86.07688, 90.62259, 38.92604
117, 1737995753062, 0.00105, 2.19, 11.14695, 106.65466, 50.37302, 25.76949
118, 1737995753074, 0.00105, 2.19, 11.14695, 121.56804, 36.86196, 1.41019
119, 1737995753091, 1.41795, 3.46605, 10.73205, 124.71931, 40.91921, -35.34147
120, 1737995753108, 1.21695, 3.34695, 10.01595, 123.03337, 37.06679, -75.93768
121, 1737995753124, 0.951, 2.607, 10.701, 128.21721, 34.68758, -100.36788
122, 1737995753142, 0.456, 1.632, 10.16295, 136.47353, 31.96173, -122.41888
123, 1737995753158, -0.09405, 1.09395, 8.05605, 133.33014, 35.0421, -128.36688
124, 1737995753175, -0.09405, 1.09395, 8.05605, 112.67358, 41.83308, -128.65051
125, 1737995753191, -0.609, 0.87105, 5.31705, 67.7365, 53.65821, -121.02444
126, 1737995753208, -2.46705, 0.97605, 4.07895, 34.20701, 33.36405, -93.01755
127, 1737995753224, -2.13405, 2.33595, 5.46705, 28.259, 2.63131, -79.01804
128, 1737995753242, -0.156, 3.67695, 6.40395, 28.259, -40.84044, -89.2439
129, 1737995753258, 0.528, 3.936, 7.158, 23.98903, -62.67872, -107.51338
130, 1737995753273, 0.80295, 3.066, 6.80295, 16.00844, -80.10523, -123.60849
131, 1737995753291, 0.25905, 2.394, 6.73605, -1.35505, -104.81905, -138.23825
132, 1737995753307, 0.25905, 2.394, 6.73605, -17.30834, -108.6636, -142.57912
133, 1737995753323, -0.40005, 2.169, 7.34895, -39.64295, -95.08951, -141.1768
134, 1737995753341, -0.099, 1.42395, 8.25, -51.46808, -74.44083, -142.23247
135, 1737995753357, -0.123, 0.672, 9.35595, -53.9891, -62.53691, -145.24194
136, 1737995753373, -0.65895, -0.14595, 10.06695, -43.21176, -75.70133, -143.35118
137, 1737995753389, -1.70295, -0.555, 9.79905, -30.40186, -101.59688, -132.07751
138, 1737995753407, -1.25805, 0.117, 10.25805, -26.54943, -111.32642, -117.51865
139, 1737995753423, -1.25805, 0.117, 10.25805, -23.95751, -106.42619, -108.00182
140, 1737995753441, 0.33405, 1.10295, 10.70595, -16.89079, -99.56431, -109.12053
141, 1737995753456, 0.729, 0.85695, 10.33305, -12.27419, -97.1142, -109.26234
142, 1737995753473, 0.669, 0.60495, 10.419, -7.30306, -88.15672, -105.1972
143, 1737995753489, 0.94395, 1.608, 9.50205, -10.65916, -85.35997, -104.99237
144, 1737995753508, 1.54695, 1.194, 10.96695, -13.5347, -70.6593, -112.47662
