Timestamp, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
1, -0.13995, 0.21, 9.849, -0.01576, 0.35452, 0.04727
2, -0.111, 0.201, 9.82095, 0.05515, 0.14181, 0.04727
3, -0.10905, 0.23205, 9.828, -0.08666, 0.14181, -0.02363
4, -0.16905, 0.222, 9.81105, -0.01576, 0.0709, 0.04727
5, -0.12795, 0.22005, 9.83295, -0.01576, 0.00788, -0.02363
6, -0.11805, 0.19605, 9.82995, 0.05515, 0.00788, 0.04727
7, -0.11805, 0.21, 9.82305, 0.05515, 0.00788, 0.04727
8, -0.138, 0.225, 9.83295, -0.01576, 0.0709, 0.04727
9, -0.14205, 0.20295, 9.83295, -0.01576, -0.06303, 0.04727
10, -0.13305, 0.21705, 9.828, 0.05515, 0.00788, -0.02363
11, -0.114, 0.20805, 9.828, -0.01576, 0.00788, 0.04727
12, -0.15, 0.22005, 9.82305, -0.01576, 0.00788, 0.04727
13, -0.15195, 0.22005, 9.83295, -0.01576, 0.00788, 0.04727
14, -0.135, 0.20505, 9.83295, -0.01576, 0.00788, -0.02363
15, -0.11595, 0.21705, 9.83295, -0.01576, 0.0709, 0.04727
16, -0.135, 0.21705, 9.81105, 0.05515, 0.00788, -0.02363
17, -0.135, 0.21495, 9.80895, -0.01576, 0.00788, 0.04727
18, -0.13995, 0.21705, 9.82995, -0.01576, 0.00788, 0.04727
19, -0.12105, 0.21495, 9.816, -0.01576, 0.00788, 0.11817
20, -0.14505, 0.22005, 9.828, 0.05515, 0.00788, -0.02363
21, -0.15405, 0.20505, 9.82305, -0.01576, -0.06303, -0.02363
22, -0.135, 0.22695, 9.825, -0.01576, 0.00788, 0.04727
23, -0.13305, 0.222, 9.816, -0.01576, 0.00788, -0.02363
24, -0.14205, 0.24105, 9.837, -0.01576, 0.00788, 0.04727
25, -0.15, 0.201, 9.82995, -0.01576, 0.00788, 0.04727
26, -0.13995, 0.20805, 9.82095, -0.01576, 0.00788, -0.02363
27, -0.13305, 0.21, 9.82995, -0.01576, 0.00788, 0.04727
28, -0.15195, 0.20805, 9.82095, 0.05515, 0.00788, -0.02363
29, -0.14205, 0.22005, 9.825, 0.05515, 0.00788, -0.02363
30, -0.13995, 0.23205, 9.81795, 0.05515, 0.00788, 0.04727
31, -0.126, 0.20805, 9.82995, -0.01576, 0.00788, 0.11817
32, -0.147, 0.20505, 9.82995, -0.01576, 0.00788, -0.02363
33, -0.138, 0.21495, 9.813, -0.01576, 0.00788, 0.04727
34, -0.13995, 0.20805, 9.82305, -0.01576, -0.06303, 0.04727
35, -0.147, 0.21705, 9.82995, -0.01576, 0.00788, -0.02363
36, -0.14205, 0.21, 9.82995, -0.01576, 0.00788, 0.04727
37, -0.162, 0.222, 9.82995, -0.01576, 0.00788, 0.04727
38, -0.15, 0.20295, 9.828, -0.01576, 0.00788, -0.02363
39, -0.15, 0.20295, 9.828, -0.01576, 0.00788, 0.04727
