SrNo, Timestamp, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro 
1, 1737991823150, 0.55395, 2.72895, 9.15705, 2.9937, 8.46115, -1.10294
2, 1737991823163, 0.28095, 2.57595, 8.91795, -0.92962, 1.95379, -0.33088
3, 1737991823171, 0.28095, 2.57595, 8.91795, -2.26103, 0.96901, 0.71691
4, 1737991823185, 0.41295, 2.46495, 9.45105, -1.34717, 2.85978, 1.41807
5, 1737991823194, 0.41295, 2.46495, 9.45105, -0.5042, 3.90757, 1.41807
6, 1737991823208, 0.42195, 2.418, 9.79095, 2.63919, 5.86924, 1.48897
7, 1737991823214, 0.40305, 2.43405, 9.89205, 4.81356, 7.12974, 1.27626
8, 1737991823228, 0.40305, 2.43405, 9.89205, 6.77523, 8.11452, 1.00053
9, 1737991823238, 0.432, 2.47695, 9.51105, 8.03573, 9.57985, -0.05515
10, 1737991823249, 0.432, 2.47695, 9.51105, 7.40548, 9.43805, -0.74843
11, 1737991823259, 0.29505, 2.51595, 9.04905, 5.86136, 7.34245, -1.10294
12, 1737991823272, 0.10905, 2.47005, 8.99205, 2.36345, 2.65494, -0.54359
13, 1737991823283, 0.10905, 2.47005, 8.99205, 0.33088, 0.48057, 0.44118
14, 1737991823294, 0.34095, 2.535, 9.25995, -1.55988, 0.13393, 0.85872
15, 1737991823305, 0.34095, 2.535, 9.25995, -2.32406, 0.69328, 0.5042
16, 1737991823316, 0.37395, 2.556, 9.447, -2.60767, 0.96901, 0.29937
17, 1737991823327, 0.33795, 2.54205, 9.471, -1.76471, 0.83509, 0.57511
18, 1737991823338, 0.33795, 2.54205, 9.471, -1.55988, 0.55147, 0.64601
19, 1737991823349, 0.372, 2.523, 9.504, -1.34717, -0.00788, 0.85872
20, 1737991823360, 0.372, 2.523, 9.504, 0.18908, -0.77994, 0.64601
21, 1737991823370, 0.381, 2.50605, 9.70995, 2.00893, -1.12658, 0.15756
22, 1737991823383, 0.381, 2.50605, 9.70995, 3.48215, -0.92175, -0.40179
23, 1737991823394, 0.36705, 2.48205, 9.78195, 4.95537, -0.49632, -0.96114
