Timestamp, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
1, -0.042, 0.16005, 9.79695, 0.05515, 0.27574, -0.02363
2, -0.03195, 0.174, 9.804, 0.05515, 0.13393, 0.04727
3, -0.01995, 0.16005, 9.83295, -0.01576, 0, -0.02363
4, -0.00795, 0.14595, 9.83295, -0.08666, 0.0709, -0.02363
5, -0.006, 0.153, 9.80595, -0.01576, 0.0709, -0.02363
6, -0.03, 0.15705, 9.81105, -0.01576, 0.06303, -0.02363
7, -0.01305, 0.153, 9.816, -0.01576, 0, 0.04727
8, -0.00105, 0.14595, 9.825, -0.01576, 0, -0.02363
9, -0.01605, 0.153, 9.81105, -0.01576, 0, -0.02363
10, -0.03705, 0.15, 9.813, 0.05515, -0.0709, -0.02363
11, -0.04695, 0.16695, 9.825, 0.05515, -0.0709, -0.02363
12, -0.01995, 0.17205, 9.81795, 0.05515, -0.0709, 0.04727
13, -0.00795, 0.162, 9.82305, 0.05515, -0.14181, -0.02363
14, -0.042, 0.16005, 9.82305, -0.01576, -0.0709, -0.02363
15, -0.018, 0.17895, 9.804, 0.05515, 0, -0.02363
16, -0.018, 0.162, 9.81795, -0.01576, -0.0709, -0.02363
17, -0.02505, 0.165, 9.81795, 0.05515, -0.0709, -0.02363
18, -0.01305, 0.14595, 9.816, -0.01576, 0, -0.02363
19, -0.03705, 0.15705, 9.82305, 0.05515, 0, 0.04727
20, -0.01095, 0.174, 9.82095, 0.05515, 0, -0.02363
21, -0.01305, 0.162, 9.828, 0.05515, 0, -0.02363
22, -0.03195, 0.18405, 9.816, 0.12605, 0, -0.09454
23, -0.02805, 0.162, 9.825, 0.05515, 0, -0.02363
24, -0.006, 0.15705, 9.79395, -0.01576, 0, -0.02363
25, -0.018, 0.16695, 9.82095, 0.05515, 0.06303, -0.02363
26, -0.018, 0.16905, 9.82095, -0.01576, 0, -0.02363
27, -0.006, 0.153, 9.813, 0.05515, 0, -0.09454
28, -0.02295, 0.165, 9.825, -0.01576, 0, -0.02363
29, -0.03495, 0.16695, 9.79905, -0.01576, 0, -0.02363
30, -0.01995, 0.174, 9.825, -0.01576, 0, 0.04727
31, -0.03495, 0.162, 9.816, -0.01576, 0, -0.02363
32, -0.01995, 0.153, 9.813, -0.01576, 0, -0.02363
33, -0.018, 0.16695, 9.813, -0.01576, 0.0709, 0.04727
34, -0.01605, 0.16005, 9.80895, -0.01576, 0, 0.04727
35, -0.018, 0.174, 9.82095, 0.05515, 0, -0.02363
36, -0.006, 0.16005, 9.82305, 0.05515, 0, 0.04727
37, -0.03195, 0.177, 9.81795, 0.05515, 0, 0.04727
38, -0.03195, 0.162, 9.813, -0.01576, 0, -0.02363
39, -0.01995, 0.17205, 9.825, -0.01576, 0.0709, -0.02363
40, -0.01605, 0.14805, 9.816, 0.05515, 0, -0.02363
41, -0.03705, 0.16905, 9.825, -0.01576, 0, -0.02363
42, -0.018, 0.17205, 9.792, -0.01576, 0, 0.04727
43, -0.02805, 0.165, 9.825, -0.01576, 0, 0.04727
44, -0.04695, 0.177, 9.81105, -0.01576, 0, -0.09454
45, -0.03705, 0.165, 9.813, -0.01576, 0, -0.09454
46, -0.01995, 0.14805, 9.81795, -0.01576, 0, -0.02363
47, -0.01605, 0.16905, 9.82095, 0.05515, -0.0709, -0.02363
48, -0.01095, 0.14595, 9.81105, -0.01576, -0.0709, -0.09454
49, -0.03, 0.14595, 9.804, 0.05515, 0, 0.04727
50, -0.02505, 0.162, 9.82305, 0.05515, 0, -0.02363
51, -0.01095, 0.153, 9.825, -0.02363, 0, -0.01576
52, -0.00795, 0.14805, 9.81105, -0.02363, 0, 0.05515
53, -0.03705, 0.174, 9.81795, 0.04727, 0, 0.05515
54, -0.02805, 0.165, 9.80895, -0.02363, 0, -0.01576
55, -0.02805, 0.17895, 9.81795, -0.02363, -0.0709, -0.01576
56, -0.018, 0.15705, 9.82095, 0.04727, 0.0709, -0.01576
57, -0.03495, 0.165, 9.816, -0.02363, 0.0709, -0.01576
58, -0.01095, 0.14295, 9.813, -0.02363, 0, -0.01576
59, -0.018, 0.165, 9.81795, -0.02363, 0, -0.08666
60, -0.01995, 0.14295, 9.828, -0.02363, 0, 0.05515
61, -0.03, 0.177, 9.81105, -0.02363, -0.0709, -0.01576
62, -0.03, 0.14295, 9.828, -0.09454, 0, -0.01576
63, -0.02505, 0.14805, 9.81105, 0.04727, 0, -0.01576
64, -0.02805, 0.165, 9.813, -0.02363, 0, -0.01576
65, -0.006, 0.162, 9.813, -0.02363, 0, -0.01576
